post_id,date,platform,brand,content_format,reach,impressions,likes,comments,shares,saves
106,2025-12-11,Instagram,Vela,Reel,31818,50022,3834,198,510,651
107,2025-12-12,Instagram,Aurora,Image,27606,42137,1327,119,126,302
108,2025-12-12,Instagram,Aurora,Image,28142,42786,1498,128,196,397
109,2025-12-12,Instagram,Nimbus,Image,5202,6053,323,19,29,78
110,2025-12-12,TikTok,Nimbus,Video,12065,17896,1163,76,196,115
111,2025-12-12,Instagram,Vela,Story,25257,40778,668,39,115,155
112,2025-12-12,TikTok,Vela,Video,44639,60340,4477,209,723,327
113,2025-12-13,Instagram,Aurora,Reel,12860,14611,939,69,200,238
114,2025-12-13,TikTok,Aurora,Video,31396,48373,2471,135,466,394
115,2025-12-13,Instagram,Nimbus,Story,23514,27967,697,34,90,100
116,2025-12-13,TikTok,Nimbus,LiveStream,3900,5216,350,38,25,12
117,2025-12-13,Instagram,Vela,Image,41463,70015,1748,204,312,523
118,2025-12-14,Instagram,Nimbus,Story,16521,22668,488,39,75,104
119,2025-12-14,TikTok,Vela,Video,28308,42720,2859,175,390,346
120,2025-12-15,Instagram,Aurora,Carousel,28504,34940,2507,130,300,456
121,2025-12-15,Instagram,Nimbus,Image,11595,16529,591,51,83,172
122,2025-12-16,Instagram,Aurora,Image,12580,15358,963,65,79,130
123,2025-12-16,TikTok,Aurora,Video,48130,68332,3244,294,574,348
124,2025-12-16,TikTok,Aurora,LiveStream,17826,29437,1098,210,140,68
125,2025-12-16,Instagram,Nimbus,Carousel,7027,8972,505,32,68,143
126,2025-12-16,Instagram,Nimbus,Story,14263,24120,335,23,43,76
127,2025-12-16,Instagram,Vela,Carousel,42051,65000,3447,195,421,657
128,2025-12-16,Instagram,Vela,Story,42099,56603,1086,64,120,208
129,2025-12-16,TikTok,Vela,Video,63081,87553,7216,268,787,747
130,2025-12-16,TikTok,Vela,LiveStream,21047,24592,1067,149,147,91
131,2025-12-17,Instagram,Nimbus,Image,18259,27711,1171,56,122,237
132,2025-12-17,Instagram,Vela,Reel,30247,50172,3280,149,584,385
133,2025-12-17,Instagram,Vela,Story,13530,17658,447,34,66,67
134,2025-12-18,Instagram,Aurora,Reel,7642,8434,893,37,83,102
135,2025-12-18,Instagram,Aurora,Story,17080,25808,640,32,54,94
136,2025-12-18,TikTok,Aurora,Video,10379,17470,1130,61,182,120
137,2025-12-18,TikTok,Aurora,Video,43020,59299,4286,193,738,516
138,2025-12-18,Instagram,Nimbus,Story,4755,6004,169,8,18,28
139,2025-12-18,Instagram,Nimbus,Story,10061,16340,236,17,39,59
140,2025-12-18,Instagram,Vela,Carousel,40808,52183,4209,259,474,846
141,2025-12-18,TikTok,Vela,LiveStream,46755,62384,3600,561,373,208
142,2025-12-19,Instagram,Aurora,Reel,22716,34683,1632,140,290,496
143,2025-12-19,TikTok,Aurora,LiveStream,40160,63706,2950,352,289,179
144,2025-12-19,TikTok,Nimbus,Video,15222,21174,1559,66,151,177
145,2025-12-19,Instagram,Vela,Reel,22783,26877,2012,145,326,339
146,2025-12-19,TikTok,Vela,Video,21711,34108,2099,115,219,260
147,2025-12-20,Instagram,Aurora,Carousel,25866,35412,2566,180,201,722
148,2025-12-20,Instagram,Aurora,Story,10326,13479,350,26,47,45
149,2025-12-20,Instagram,Nimbus,Image,7764,10676,422,34,39,100
150,2025-12-20,Instagram,Vela,Carousel,16031,19210,1264,80,199,310
151,2025-12-20,TikTok,Vela,LiveStream,38021,64577,2970,354,259,146
152,2025-12-21,Instagram,Nimbus,Carousel,17926,28450,1188,112,222,377
153,2025-12-21,TikTok,Nimbus,Video,3905,5986,390,14,66,43
154,2025-12-22,Instagram,Nimbus,Carousel,18850,30093,1143,87,203,393
155,2025-12-22,Instagram,Nimbus,Story,5367,6309,144,12,17,22
156,2025-12-22,TikTok,Nimbus,Video,5792,9790,605,21,84,69
157,2025-12-22,Instagram,Vela,Story,25075,40072,952,46,126,89
158,2025-12-23,Instagram,Aurora,Story,35102,47278,765,70,162,150
159,2025-12-23,Instagram,Aurora,Reel,24478,29126,2348,89,345,552
160,2025-12-23,Instagram,Nimbus,Reel,11459,15272,1175,53,143,247
161,2025-12-24,Instagram,Aurora,Story,21482,27145,556,55,71,124
162,2025-12-24,TikTok,Aurora,Video,33983,43321,2360,179,366,362
163,2025-12-24,Instagram,Nimbus,Reel,7893,12759,588,44,129,167
164,2025-12-24,TikTok,Nimbus,LiveStream,6092,8057,520,56,40,21
165,2025-12-24,Instagram,Vela,Story,41427,70392,1207,87,131,212
166,2025-12-24,TikTok,Vela,LiveStream,27175,41183,1608,261,236,99
167,2025-12-25,Instagram,Aurora,Reel,19097,29006,1937,118,215,395
168,2025-12-25,TikTok,Aurora,LiveStream,46173,62309,3848,511,479,213
169,2025-12-25,Instagram,Nimbus,Reel,21153,25101,2301,111,403,310
170,2025-12-25,Instagram,Vela,Reel,16801,19776,1654,74,188,347
171,2025-12-25,TikTok,Vela,LiveStream,31224,47697,1995,359,205,156
172,2025-12-26,Instagram,Aurora,Reel,23291,30183,1704,88,285,374
173,2025-12-26,TikTok,Aurora,LiveStream,19922,31613,1072,191,146,73
174,2025-12-26,Instagram,Nimbus,Carousel,25708,32937,2395,157,202,583
175,2025-12-27,TikTok,Aurora,LiveStream,24674,29284,1621,251,253,78
176,2025-12-27,Instagram,Nimbus,Story,10954,12893,248,26,54,64
177,2025-12-27,Instagram,Vela,Image,35446,48398,2718,158,252,319
178,2025-12-28,Instagram,Aurora,Carousel,26908,41257,2365,158,229,742
179,2025-12-28,Instagram,Aurora,Reel,25205,28398,3246,158,404,570
180,2025-12-28,Instagram,Vela,Story,29961,43400,659,51,122,177
181,2025-12-29,TikTok,Aurora,LiveStream,19680,30272,1606,160,118,56
182,2025-12-29,Instagram,Vela,Story,37611,46630,795,71,176,217
183,2025-12-29,TikTok,Vela,LiveStream,25851,36171,1822,199,158,88
184,2025-12-29,TikTok,Vela,Video,43620,57718,3489,269,692,308
185,2025-12-30,Instagram,Aurora,Carousel,29405,44226,1841,128,209,784
186,2025-12-30,Instagram,Vela,Story,16494,23952,486,35,61,66
187,2025-12-30,TikTok,Vela,Video,49624,78759,3652,308,563,460
188,2025-12-31,Instagram,Aurora,Image,38453,57821,2628,112,213,453
189,2025-12-31,Instagram,Vela,Carousel,13431,21957,1110,63,153,241
190,2026-01-01,Instagram,Vela,Image,10510,17830,457,44,51,160
191,2026-01-02,Instagram,Aurora,Reel,21981,25318,2351,82,307,434
192,2026-01-02,TikTok,Aurora,Video,55293,70110,5979,282,927,468
193,2026-01-02,TikTok,Aurora,LiveStream,10741,18200,720,114,76,31
194,2026-01-02,Instagram,Vela,Carousel,17437,23214,1331,117,197,364
195,2026-01-02,TikTok,Vela,LiveStream,16622,26271,1154,199,113,85
196,2026-01-03,Instagram,Nimbus,Carousel,16445,22811,1207,83,136,293
197,2026-01-03,Instagram,Vela,Reel,14908,23349,1439,86,265,238
198,2026-01-03,TikTok,Vela,LiveStream,40366,44896,2629,404,254,151
199,2026-01-04,TikTok,Nimbus,Video,11224,18718,778,56,112,145
200,2026-01-04,TikTok,Vela,Video,52202,71205,3899,249,690,464
201,2026-01-05,Instagram,Aurora,Image,23920,38219,1241,80,128,247
202,2026-01-05,Instagram,Nimbus,Image,8877,12716,430,40,46,123
203,2026-01-05,Instagram,Nimbus,Story,21568,35924,723,52,102,134
204,2026-01-05,TikTok,Nimbus,LiveStream,4890,7191,288,41,35,25
205,2026-01-05,TikTok,Vela,Video,41204,53959,4798,250,428,463
206,2026-01-06,Instagram,Nimbus,Carousel,15165,24563,942,95,146,403
207,2026-01-06,TikTok,Nimbus,LiveStream,6598,11181,598,73,50,25
208,2026-01-07,Instagram,Aurora,Reel,19198,23740,2053,124,350,443
209,2026-01-07,Instagram,Nimbus,Story,21840,25603,513,56,64,114
210,2026-01-07,TikTok,Nimbus,Video,4094,5780,419,25,69,36
211,2026-01-07,Instagram,Vela,Story,20000,25135,524,49,101,78
212,2026-01-08,Instagram,Aurora,Image,38712,64853,2193,112,295,529
213,2026-01-08,TikTok,Aurora,Video,12156,20067,888,55,184,111
214,2026-01-08,Instagram,Nimbus,Image,8228,12889,574,41,39,123
215,2026-01-09,Instagram,Aurora,Story,30953,51217,848,49,145,194
216,2026-01-09,TikTok,Aurora,LiveStream,45806,62279,4157,449,280,229
217,2026-01-09,Instagram,Nimbus,Image,11251,16671,504,46,78,104
218,2026-01-09,Instagram,Vela,Carousel,24658,36912,1571,121,250,388
219,2026-01-10,Instagram,Aurora,Reel,9180,15347,1155,46,147,145
220,2026-01-10,TikTok,Aurora,LiveStream,40565,54953,2669,405,313,204
221,2026-01-10,TikTok,Vela,Video,51283,65975,5649,208,692,591
222,2026-01-11,Instagram,Aurora,Image,9372,13994,503,27,66,98
223,2026-01-11,Instagram,Aurora,Carousel,30640,37356,1900,138,342,670
224,2026-01-11,Instagram,Nimbus,Story,8184,13299,268,13,27,34
225,2026-01-11,TikTok,Vela,LiveStream,50981,82855,3390,635,382,231
226,2026-01-12,Instagram,Aurora,Reel,28520,40323,3226,110,372,621
227,2026-01-12,TikTok,Vela,Video,54950,79633,6322,226,651,527
228,2026-01-12,TikTok,Vela,LiveStream,50956,73115,3721,613,305,146
229,2026-01-13,TikTok,Aurora,Video,41130,61985,4220,162,497,421
230,2026-01-13,Instagram,Nimbus,Image,8729,14523,465,25,61,114
231,2026-01-13,TikTok,Nimbus,Video,14486,19760,1103,52,250,159
232,2026-01-13,Instagram,Vela,Story,31658,49901,909,76,152,200
233,2026-01-14,Instagram,Aurora,Story,10142,15371,221,19,50,54
234,2026-01-14,Instagram,Nimbus,Story,13322,20436,510,23,51,61
235,2026-01-14,TikTok,Nimbus,LiveStream,4488,5290,248,47,35,17
236,2026-01-14,TikTok,Nimbus,LiveStream,14996,21796,982,163,141,43
237,2026-01-14,TikTok,Vela,LiveStream,60611,93019,4457,695,595,225
238,2026-01-15,Instagram,Aurora,Story,20544,25905,645,46,80,115
239,2026-01-15,TikTok,Aurora,LiveStream,26747,37553,2292,270,189,102
240,2026-01-15,TikTok,Aurora,LiveStream,32699,36179,1621,400,251,144
241,2026-01-15,Instagram,Vela,Carousel,35661,45971,2655,198,413,589
242,2026-01-15,TikTok,Vela,Video,52330,82357,6075,186,855,388
243,2026-01-16,Instagram,Aurora,Image,16742,20048,1129,71,77,257
244,2026-01-16,Instagram,Aurora,Story,8573,13702,181,16,36,43
245,2026-01-16,TikTok,Aurora,Video,46254,68850,3732,296,795,363
246,2026-01-16,TikTok,Aurora,LiveStream,11690,14458,836,120,118,44
247,2026-01-16,Instagram,Nimbus,Story,23907,30157,834,35,116,96
248,2026-01-16,TikTok,Nimbus,Video,15893,24211,1229,90,160,169
249,2026-01-16,Instagram,Vela,Reel,35002,47757,3593,153,596,623
250,2026-01-17,Instagram,Aurora,Reel,11414,12626,1181,67,131,183
251,2026-01-17,TikTok,Vela,LiveStream,16606,24981,868,154,171,60
252,2026-01-18,TikTok,Aurora,Video,28653,47639,2344,146,450,235
253,2026-01-18,TikTok,Vela,LiveStream,62322,71666,3614,693,431,177
254,2026-01-19,Instagram,Nimbus,Story,15893,18867,495,39,51,102
255,2026-01-19,Instagram,Nimbus,Reel,8830,11372,837,45,97,187
256,2026-01-19,Instagram,Vela,Story,15032,24210,373,34,73,53
257,2026-01-19,Instagram,Vela,Carousel,35239,42255,2046,250,427,612
258,2026-01-20,Instagram,Nimbus,Story,9617,12154,252,14,29,45
259,2026-01-20,Instagram,Nimbus,Story,11464,16958,322,17,46,66
260,2026-01-20,TikTok,Nimbus,Video,16670,25347,1781,106,222,196
261,2026-01-20,Instagram,Vela,Story,43199,54759,1041,92,203,157
262,2026-01-20,TikTok,Vela,Video,30840,34740,2466,145,488,266
263,2026-01-21,Instagram,Aurora,Reel,19765,29501,2086,86,341,425
264,2026-01-21,Instagram,Nimbus,Story,9287,13490,248,22,45,53
265,2026-01-21,Instagram,Nimbus,Reel,12252,16710,1141,55,209,194
266,2026-01-21,TikTok,Nimbus,LiveStream,6593,11108,416,73,58,28
267,2026-01-21,Instagram,Vela,Carousel,38328,58674,3699,221,442,801
268,2026-01-21,TikTok,Vela,Video,26089,33025,2335,92,348,273
269,2026-01-22,Instagram,Aurora,Story,14832,22134,450,37,47,93
270,2026-01-22,TikTok,Aurora,Video,26029,33077,1689,127,262,325
271,2026-01-22,Instagram,Nimbus,Story,5684,8934,190,14,21,30
272,2026-01-23,Instagram,Aurora,Story,14501,16052,352,31,70,55
273,2026-01-23,TikTok,Nimbus,LiveStream,17505,20175,1567,191,168,52
274,2026-01-24,Instagram,Aurora,Carousel,34539,49016,2493,188,349,921
275,2026-01-24,TikTok,Aurora,LiveStream,18940,30991,1540,244,157,83
276,2026-01-24,TikTok,Nimbus,LiveStream,7213,11712,355,55,67,33
277,2026-01-24,Instagram,Vela,Story,21865,32774,611,31,106,139
278,2026-01-24,TikTok,Vela,Video,46764,70646,3980,300,617,552
279,2026-01-25,Instagram,Aurora,Story,22431,31949,471,51,64,87
280,2026-01-25,TikTok,Aurora,Video,17039,26254,1542,97,168,160
281,2026-01-25,Instagram,Nimbus,Image,24654,33365,1715,71,154,298
282,2026-01-25,TikTok,Nimbus,LiveStream,11302,18117,647,97,102,37
283,2026-01-25,Instagram,Vela,Story,14830,24223,347,26,44,77
284,2026-01-25,TikTok,Vela,LiveStream,38886,57897,2634,491,386,187
285,2026-01-26,Instagram,Aurora,Reel,7330,9297,790,45,100,118
286,2026-01-26,Instagram,Nimbus,Image,21464,32365,1246,94,112,305
287,2026-01-26,TikTok,Nimbus,LiveStream,7146,9443,360,81,53,27
288,2026-01-27,Instagram,Aurora,Story,20487,30363,543,39,78,86
289,2026-01-27,Instagram,Aurora,Carousel,9853,12448,682,52,109,279
290,2026-01-27,TikTok,Aurora,LiveStream,15595,25744,1130,161,106,72
291,2026-01-27,Instagram,Nimbus,Reel,25025,36935,2820,100,373,456
292,2026-01-27,TikTok,Vela,LiveStream,20569,25886,1311,196,120,91
293,2026-01-28,Instagram,Aurora,Carousel,33393,44172,3196,255,336,855
294,2026-01-28,TikTok,Nimbus,LiveStream,7612,12830,396,64,56,29
295,2026-01-28,TikTok,Nimbus,LiveStream,9487,12203,529,95,70,39
296,2026-01-28,Instagram,Vela,Carousel,38900,43180,2422,277,408,749
297,2026-01-29,Instagram,Aurora,Reel,39157,48079,3476,209,640,793
298,2026-01-29,TikTok,Aurora,Video,20207,23083,2015,131,232,146
299,2026-01-29,Instagram,Nimbus,Carousel,22654,35955,1363,102,253,353
300,2026-01-29,TikTok,Nimbus,LiveStream,15949,21680,1436,156,159,74
301,2026-01-29,TikTok,Vela,LiveStream,14251,15918,738,178,107,52
302,2026-01-30,TikTok,Aurora,LiveStream,28803,39346,1952,286,238,82
303,2026-01-30,Instagram,Nimbus,Carousel,10106,16916,804,51,119,263
304,2026-01-30,TikTok,Vela,Video,26030,33472,2720,119,450,307
305,2026-01-31,Instagram,Aurora,Image,28015,40750,1286,105,179,407
306,2026-01-31,TikTok,Nimbus,LiveStream,13241,18558,1012,116,104,44
307,2026-01-31,TikTok,Nimbus,Video,14558,22285,1384,75,168,121
308,2026-01-31,Instagram,Vela,Carousel,36238,57995,3461,193,314,597
309,2026-01-31,Instagram,Vela,Image,46191,71485,2431,179,287,720
310,2026-02-01,Instagram,Aurora,Image,8625,12665,470,33,40,95
311,2026-02-01,Instagram,Nimbus,Story,20962,31180,710,33,101,103
312,2026-02-01,Instagram,Nimbus,Reel,16127,26460,1775,98,271,255
313,2026-02-02,Instagram,Aurora,Carousel,8627,12312,852,55,78,206
314,2026-02-02,Instagram,Vela,Image,39759,44593,1699,128,285,533
315,2026-02-03,Instagram,Aurora,Reel,32681,51639,3615,120,537,463
316,2026-02-03,Instagram,Nimbus,Story,5293,7949,117,9,16,28
317,2026-02-03,Instagram,Nimbus,Image,22426,32396,1283,89,164,219
318,2026-02-03,TikTok,Vela,Video,31497,50430,2636,159,387,375
319,2026-02-03,TikTok,Vela,Video,24646,29306,2814,99,259,275
320,2026-02-04,Instagram,Aurora,Reel,32036,51225,3698,158,368,697
321,2026-02-04,TikTok,Aurora,Video,40441,60400,2573,254,656,315
322,2026-02-04,Instagram,Nimbus,Carousel,14857,17036,856,111,186,357
323,2026-02-04,TikTok,Nimbus,LiveStream,3257,4212,266,33,21,14
324,2026-02-04,Instagram,Vela,Image,46554,60888,2647,182,220,456
325,2026-02-04,TikTok,Vela,Video,29186,47570,2758,148,493,287
326,2026-02-05,Instagram,Aurora,Reel,27112,37266,3205,135,379,607
327,2026-02-05,Instagram,Nimbus,Story,18434,23452,509,35,86,97
328,2026-02-05,TikTok,Nimbus,LiveStream,7102,12051,382,86,56,31
329,2026-02-05,Instagram,Vela,Carousel,11052,14514,914,75,137,183
330,2026-02-05,TikTok,Vela,LiveStream,50019,81552,4484,566,354,162
331,2026-02-06,Instagram,Aurora,Story,26721,39006,700,42,75,156
332,2026-02-06,TikTok,Nimbus,Video,12248,19928,1080,44,205,86
333,2026-02-06,Instagram,Vela,Reel,26819,44212,3043,170,415,582
334,2026-02-07,TikTok,Vela,Video,43968,66741,3387,230,445,555
335,2026-02-08,Instagram,Aurora,Reel,18313,24673,2220,98,300,320
336,2026-02-08,Instagram,Aurora,Image,28987,45501,1784,102,142,356
337,2026-02-08,TikTok,Aurora,Video,47959,80682,4415,274,800,397
338,2026-02-08,Instagram,Nimbus,Story,14379,17779,462,34,69,84
339,2026-02-08,Instagram,Vela,Image,43444,65598,3221,136,278,516
340,2026-02-08,TikTok,Vela,LiveStream,19006,30030,1294,203,146,66
341,2026-02-09,Instagram,Aurora,Carousel,20294,23680,2011,127,257,476
342,2026-02-09,Instagram,Aurora,Reel,22803,36692,1842,122,380,337
343,2026-02-09,TikTok,Aurora,Video,17547,20954,1376,83,214,198
344,2026-02-09,Instagram,Nimbus,Story,21803,35567,580,45,86,137
345,2026-02-09,Instagram,Nimbus,Image,12422,20443,668,35,93,186
346,2026-02-09,TikTok,Nimbus,Video,8688,11729,625,48,119,99
347,2026-02-09,Instagram,Vela,Reel,29879,41875,3381,180,465,677
348,2026-02-09,TikTok,Vela,LiveStream,58064,83865,3322,659,588,223
349,2026-02-10,Instagram,Aurora,Story,36399,45445,824,79,146,137
350,2026-02-10,Instagram,Aurora,Carousel,32343,51066,2277,152,401,608
351,2026-02-10,Instagram,Nimbus,Image,15778,24136,1035,75,100,165
352,2026-02-10,TikTok,Vela,LiveStream,62706,76571,3267,478,622,277
353,2026-02-10,TikTok,Vela,LiveStream,31810,41849,2714,409,297,96
354,2026-02-11,TikTok,Aurora,LiveStream,51424,65678,2808,372,433,177
355,2026-02-11,Instagram,Nimbus,Reel,12162,20039,1229,43,147,255
356,2026-02-11,TikTok,Nimbus,Video,8254,10409,794,41,118,78
357,2026-02-11,Instagram,Vela,Story,40958,46987,1483,81,124,250
358,2026-02-11,TikTok,Vela,LiveStream,36943,57355,3075,431,355,188
359,2026-02-11,TikTok,Vela,LiveStream,40663,58345,3465,366,232,133
360,2026-02-12,Instagram,Aurora,Carousel,21482,33346,1274,142,158,521
361,2026-02-12,TikTok,Aurora,Video,44254,70724,3851,259,736,479
362,2026-02-12,Instagram,Nimbus,Carousel,15808,17732,1271,95,113,382
363,2026-02-12,TikTok,Nimbus,LiveStream,11266,15101,870,136,96,54
364,2026-02-12,Instagram,Vela,Carousel,13099,22008,974,84,132,302
365,2026-02-12,Instagram,Vela,Image,36728,56619,2558,184,202,382
366,2026-02-12,TikTok,Vela,LiveStream,32961,51440,2644,356,273,117
367,2026-02-13,Instagram,Nimbus,Reel,10412,16160,1127,44,183,186
368,2026-02-13,TikTok,Vela,Video,24117,34368,1799,97,269,188
369,2026-02-14,Instagram,Aurora,Image,15949,20480,988,58,90,163
